filename,label
digit_000.png,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
digit_001.png,"[1, 0, 0, 0, 0, 0, 1, 2, 1, 0]"
digit_002.png,"[1, 1, 1, 0, 1, 0, 1, 0, 0, 1]"
digit_003.png,"[0, 0, 0, 3, 1, 0, 0, 1, 0, 0]"
digit_004.png,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
digit_005.png,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
digit_006.png,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
digit_007.png,"[1, 0, 2, 0, 3, 0, 0, 1, 0, 0]"
digit_008.png,"[1, 1, 0, 0, 1, 0, 0, 0, 1, 3]"
digit_009.png,"[0, 1, 0, 0, 0, 3, 0, 0, 1, 1]"
digit_010.png,"[1, 0, 0, 1, 0, 0, 1, 0, 0, 1]"
digit_011.png,"[0, 1, 0, 0, 2, 1, 0, 0, 0, 2]"
digit_012.png,"[3, 0, 0, 1, 0, 1, 0, 0, 0, 2]"
digit_013.png,"[1, 0, 0, 1, 1, 1, 0, 0, 0, 0]"
digit_014.png,"[1, 0, 2, 0, 0, 0, 0, 0, 0, 1]"
digit_015.png,"[0, 1, 1, 1, 0, 0, 1, 0, 0, 0]"
digit_016.png,"[1, 0, 1, 0, 0, 0, 1, 0, 2, 0]"
digit_017.png,"[1, 1, 1, 0, 0, 3, 0, 1, 0, 0]"
digit_018.png,"[0, 0, 0, 1, 0, 2, 2, 0, 0, 1]"
digit_019.png,"[0, 0, 1, 1, 0, 0, 1, 0, 0, 0]"
digit_020.png,"[0, 0, 0, 0, 0, 2, 0, 1, 2, 1]"
digit_021.png,"[0, 1, 0, 2, 0, 0, 0, 1, 0, 0]"
digit_022.png,"[0, 1, 1, 0, 1, 1, 0, 1, 1, 0]"
digit_023.png,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
digit_024.png,"[0, 4, 0, 0, 0, 1, 0, 1, 0, 0]"
digit_025.png,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
digit_026.png,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
digit_027.png,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
digit_028.png,"[1, 0, 0, 1, 0, 0, 1, 2, 0, 1]"
digit_029.png,"[0, 0, 1, 1, 1, 0, 0, 0, 0, 0]"
digit_030.png,"[3, 0, 2, 1, 0, 0, 0, 0, 0, 0]"
digit_031.png,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
digit_032.png,"[0, 1, 1, 2, 2, 0, 0, 0, 0, 0]"
digit_033.png,"[0, 0, 2, 0, 2, 1, 0, 0, 1, 0]"
digit_034.png,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
digit_035.png,"[1, 1, 0, 0, 1, 2, 0, 0, 0, 1]"
digit_036.png,"[1, 0, 1, 1, 1, 0, 0, 0, 0, 1]"
digit_037.png,"[1, 1, 0, 1, 0, 1, 0, 1, 0, 0]"
digit_038.png,"[1, 1, 0, 0, 1, 1, 0, 0, 0, 1]"
digit_039.png,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
digit_040.png,"[0, 0, 1, 0, 0, 0, 0, 0, 2, 1]"
digit_041.png,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 1]"
digit_042.png,"[1, 0, 0, 2, 1, 0, 0, 1, 1, 0]"
digit_043.png,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 1]"
digit_044.png,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
digit_045.png,"[0, 2, 0, 0, 0, 0, 1, 0, 0, 0]"
digit_046.png,"[0, 0, 0, 1, 0, 2, 0, 0, 0, 0]"
digit_047.png,"[1, 1, 0, 0, 0, 0, 0, 0, 1, 0]"
digit_048.png,"[1, 0, 0, 1, 0, 1, 0, 0, 1, 0]"
digit_049.png,"[0, 0, 0, 1, 0, 0, 1, 0, 1, 1]"
