ID,StockPrice,Income,Expense,NetProfit
1,214.90142459033697,88993.55436586002,44598.57380020495,40579.365449900295
2,200.93816054232587,84246.33682912769,50067.187227086804,33681.71617329283
3,219.4306561430208,75596.30369920174,43660.64063200031,31108.45200035815
4,245.6908956922408,75636.88954433282,47536.30776288768,24769.69977473696
5,192.97539875829992,81982.2331361359,34851.082664369715,48244.2567208337
6,192.9758912915246,78934.8538542175,51706.34965898351,24557.5410570342
7,247.37638446522172,83951.93220027733,50009.643802897794,34914.360976214804
8,223.02304187458725,81351.7180168197,43463.29095145447,34793.81908748849
9,200.93816054232587,85495.52715319335,55273.96534745924,32386.943913508258
10,216.27680130757892,69647.64788439432,57500.56110101247,11204.837479746093
11,186.0974692156261,88173.94065634326,37139.52108504821,50847.1471938167
12,186.02810739289228,76975.996046924,43898.20177147029,35729.38757053809
13,207.25886814698103,95752.60872625266,43846.86120170161,49331.42038738255
14,142.60159266026608,68108.12181910432,50067.187227086804,22833.11025774925
15,148.25246502460902,92359.63803165247,56635.79873545399,34556.64064350649
16,200.93816054232587,76979.10783462648,48449.39088981757,30606.474646847542
17,169.6150663899673,68485.81996385552,47883.88126951512,17563.246543386726
18,209.42741997785825,75636.88954433282,50067.187227086804,30527.72937848968
19,200.93816054232587,71796.5269180568,50067.187227086804,15810.864959564991
20,200.93816054232587,79241.65946401916,40085.93284117222,40259.20822266878
21,243.9694630676466,80228.354880355,50479.46104213063,32149.417337702023
22,193.22671098540397,69262.99996061421,52219.015503665534,16117.661732777877
23,200.93816054232587,74756.45407739017,60885.26876670921,13048.332096448952
24,157.2575544135963,96422.70358611865,39529.4368070471,59201.06824758304
25,183.6685182642445,75636.88954433282,25843.9027534334,62692.04554818287
26,203.327677691296,79363.23669674032,50067.187227086804,27115.39878834474
27,165.4701926773309,75380.034781682,64404.08945208683,11356.793109445283
28,200.93816054232587,76200.31326718262,59911.570823515496,17187.17988623719
29,181.98083930243584,81135.17972730417,50067.187227086804,28438.2910187254
30,191.2491875062017,64772.07434801594,46066.91051494362,18774.045856484005
31,181.94880163311808,72426.23462576655,56456.98077309848,10992.599145842089
32,255.5683455352681,58314.15926122411,42211.63040236425,14786.03203419216
33,199.595083257862,78992.2312260528,53810.86215484976,26088.386496311978
34,168.268672131323,81471.95939702741,50067.187227086804,25463.61005518504
35,224.6763473630957,70168.13537700626,50067.187227086804,11804.42456019441
36,200.93816054232587,75636.88954433282,72077.28031128862,19556.332323217117
37,206.26590785014267,62742.34336997659,53139.32773743014,8917.917230830919
38,141.20989628360672,60356.2511979018,45928.29099434001,14768.887745554935
39,160.15441853304708,77244.51818559972,49795.40550246405,25523.64755256645
40,205.9058370760737,85470.98302612154,35847.39276088706,49210.36770584239
41,222.1539973998623,91839.27691457867,44442.294951287535,48617.4143024696
42,205.1410484356991,70411.1573713106,46725.74049509517,23999.362798152302
43,196.5305515283528,85786.80833431295,45807.29281652326,38806.45297866182
44,190.9668891323213,74614.91530499293,51218.83897626978,23844.50913730474
45,155.64434028897716,73273.72700059181,43420.6405409424,31282.30604092265
46,178.40467374815873,83836.59937486672,50067.187227086804,20768.471479116
47,186.1808368712064,81523.22878413419,50001.656519345575,33839.72039470041
48,231.71366678656747,59236.078430157504,49925.59743089109,8637.971521904272
49,210.30854868705384,75636.88954433282,47376.84226789666,43239.54109584276
50,147.108795339118,88800.91354147451,51241.52547087184,39953.88191789313
51,200.93816054232587,75636.88954433282,56600.78611734108,9400.239473102698
52,188.4475315875105,78958.03533437409,43062.9582743128,34476.1950552062
53,179.69233999082124,79940.30186282739,44735.06808739794,34628.13638367803
54,218.35028866522603,77606.73765823907,47570.19176978668,28469.038846203533
